comment_id,user_id,item_id,text,timestamp,is_fake_attack,attack_type,duplicate_count,duplicate_score,spam_score,near_duplicate_similarity,near_duplicate_score,user_comment_count,user_activity_score,unique_users_for_text,text_item_group_size,coordination_score,attack_pattern_score,base_attack_score,coordination_boost,attack_score,detected_fake,is_real_attack
C0,U104,I356,i have a different opinion about gaming. reference 0,2026-06-21 07:41:31.776649,False,GENUINE,1,0,0,1.0000000000000002,50,6,15,1,1,0,0,9.0,0,9.0,False,False
C1,U801,I21,this is worth discussing further. reference 1,2026-06-12 14:52:31.776838,False,GENUINE,1,0,0,1.0,50,7,15,1,1,0,0,9.0,0,9.0,False,False
C2,U379,I35,this was a surprisingly interesting post. reference 2,2026-08-10 16:20:31.776865,False,GENUINE,1,0,0,1.0,50,7,15,1,1,0,0,9.0,0,9.0,False,False
C3,U869,I215,i think this could be improved. reference 3,2026-07-03 08:56:31.776884,False,GENUINE,1,0,0,1.0000000000000002,50,5,15,1,1,0,0,9.0,0,9.0,False,False
C4,U983,I185,i think this could be improved. reference 4,2026-07-03 04:38:31.776913,False,GENUINE,1,0,0,1.0000000000000002,50,7,15,1,1,0,0,9.0,0,9.0,False,False
C5,U180,I375,this was a surprisingly interesting post. reference 5,2026-06-16 18:30:31.776931,False,GENUINE,1,0,0,1.0,50,6,15,1,1,0,0,9.0,0,9.0,False,False
C6,U827,I470,this was a surprisingly interesting post. reference 6,2026-06-30 12:27:31.776950,False,GENUINE,1,0,0,1.0,50,6,15,1,1,0,0,9.0,0,9.0,False,False
C7,U446,I422,amazing product buy now,2026-07-13 11:53:31.776966,False,GENUINE,69,50,15,1.0,50,6,15,68,1,40,0,33.5,8,41.5,False,False
C8,U872,I125,this is an interesting perspective on movies. reference 8,2026-07-01 19:11:31.776984,False,GENUINE,1,0,0,1.0,50,10,40,1,1,0,0,11.5,0,11.5,False,False
C9,U249,I384,i think this could be improved. reference 9,2026-07-12 05:06:31.777001,False,GENUINE,1,0,0,1.0000000000000002,50,6,15,1,1,0,0,9.0,0,9.0,False,False
C10,U29,I253,this is worth discussing further. reference 10,2026-06-28 10:54:31.777016,False,GENUINE,1,0,0,1.0,50,7,15,1,1,0,0,9.0,0,9.0,False,False
C11,U217,I181,i have a different opinion about music. reference 11,2026-07-17 09:03:31.777031,False,GENUINE,1,0,0,1.0,50,6,15,1,1,0,0,9.0,0,9.0,False,False
C12,U901,I305,i have a different opinion about technology. reference 12,2026-06-25 19:23:31.777047,False,GENUINE,1,0,0,0.7418462529021725,20,9,15,1,1,0,0,4.5,0,4.5,False,False
C13,U970,I97,this is an interesting perspective on sports. reference 13,2026-06-07 06:57:31.777062,False,GENUINE,1,0,0,0.7310531063082972,20,7,15,1,1,0,0,4.5,0,4.5,False,False
C14,U416,I250,this was a surprisingly interesting post. reference 14,2026-06-09 23:19:31.777076,False,GENUINE,1,0,0,0.661661894767308,0,6,15,1,1,0,0,1.5,0,1.5,False,False
C15,U487,I330,click here for amazing deals,2026-08-10 06:18:31.777090,False,GENUINE,53,50,30,1.0000000000000002,50,5,15,53,1,40,0,36.5,8,44.5,False,False
C16,U95,I150,the explanation of fashion was very clear. reference 16,2026-06-09 20:45:31.777105,False,GENUINE,1,0,0,0.7656396726651926,20,9,15,1,1,0,0,4.5,0,4.5,False,False
C17,U249,I156,thanks for sharing this information. reference 17,2026-06-29 18:07:31.777119,False,GENUINE,1,0,0,0.6789809902112234,0,6,15,1,1,0,0,1.5,0,1.5,False,False
C18,U566,I271,best deal available now,2026-06-04 22:27:31.777133,False,GENUINE,52,50,15,1.0000000000000002,50,5,15,51,2,50,0,37.0,8,45.0,False,False
C19,U563,I169,this is worth discussing further. reference 19,2026-07-18 04:09:31.777147,False,GENUINE,1,0,0,0.6148367794734235,0,5,15,1,1,0,0,1.5,0,1.5,False,False
C20,U313,I128,the explanation of gaming was very clear. reference 20,2026-06-07 04:18:31.777161,False,GENUINE,1,0,0,0.7624332223630372,20,5,15,1,1,0,0,4.5,0,4.5,False,False
C21,U197,I161,this is an interesting perspective on education. reference 21,2026-07-25 09:33:31.777176,False,GENUINE,1,0,0,0.7306942280328297,20,5,15,1,1,0,0,4.5,0,4.5,False,False
C22,U221,I378,i think this could be improved. reference 22,2026-06-06 21:06:31.777190,False,GENUINE,1,0,0,0.6122441426822248,0,3,0,1,1,0,0,0.0,0,0.0,False,False
C23,U603,I389,this was a surprisingly interesting post. reference 23,2026-08-02 16:22:31.777204,False,GENUINE,1,0,0,0.661661894767308,0,6,15,1,1,0,0,1.5,0,1.5,False,False
C24,U852,I99,i have a different opinion about sports. reference 24,2026-07-09 23:37:31.777218,False,GENUINE,1,0,0,0.7435975412000372,20,5,15,1,1,0,0,4.5,0,4.5,False,False
C25,U183,I154,i really enjoyed this post about education. reference 25,2026-07-17 20:44:31.777232,False,GENUINE,1,0,0,0.7751482859536991,20,6,15,1,1,0,0,4.5,0,4.5,False,False
C26,U46,I498,i really enjoyed this post about movies. reference 26,2026-06-09 08:27:31.777249,False,GENUINE,1,0,0,0.7772370080656208,20,5,15,1,1,0,0,4.5,0,4.5,False,False
C27,U966,I64,i think this could be improved. reference 27,2026-08-10 17:11:31.777266,False,GENUINE,1,0,0,0.6122441426822248,0,6,15,1,1,0,0,1.5,0,1.5,False,False
C28,U587,I145,i think this could be improved. reference 28,2026-07-02 17:45:31.777280,False,GENUINE,1,0,0,0.6122441426822248,0,5,15,1,1,0,0,1.5,0,1.5,False,False
C29,U348,I94,i really enjoyed this post about movies. reference 29,2026-06-29 08:22:31.777294,False,GENUINE,1,0,0,0.7772370080656208,20,7,15,1,1,0,0,4.5,0,4.5,False,False
C30,U116,I420,this is an interesting perspective on fashion. reference 30,2026-06-28 01:44:31.777309,False,GENUINE,1,0,0,0.7361608768424162,20,9,15,1,1,0,0,4.5,0,4.5,False,False
C31,U75,I295,click here for amazing deals,2026-07-29 06:03:31.777324,False,GENUINE,53,50,30,1.0000000000000002,50,9,15,53,1,40,0,36.5,8,44.5,False,False
C32,U830,I288,i have a different opinion about gaming. reference 32,2026-07-20 05:48:31.777338,False,GENUINE,1,0,0,0.7402988924808734,20,8,15,1,1,0,0,4.5,0,4.5,False,False
C33,U121,I285,the information presented here is useful. reference 33,2026-06-25 06:24:31.777352,False,GENUINE,1,0,0,0.6598076480079635,0,6,15,1,1,0,0,1.5,0,1.5,False,False
C34,U389,I230,i think this could be improved. reference 34,2026-06-19 06:19:31.777366,False,GENUINE,1,0,0,0.6122441426822248,0,7,15,1,1,0,0,1.5,0,1.5,False,False
C35,U439,I156,thanks for sharing this information. reference 35,2026-06-17 08:13:31.777380,False,GENUINE,1,0,0,0.6789809902112234,0,5,15,1,1,0,0,1.5,0,1.5,False,False
C36,U983,I378,this is an interesting perspective on sports. reference 36,2026-06-15 21:31:31.777394,False,GENUINE,1,0,0,0.7310531063082972,20,7,15,1,1,0,0,4.5,0,4.5,False,False
C37,U216,I135,this is an interesting perspective on education. reference 37,2026-07-20 23:59:31.777409,False,GENUINE,1,0,0,0.7306942280328299,20,7,15,1,1,0,0,4.5,0,4.5,False,False
C38,U177,I282,this is an interesting perspective on education. reference 38,2026-08-11 14:08:31.777423,False,GENUINE,1,0,0,0.7306942280328299,20,5,15,1,1,0,0,4.5,0,4.5,False,False
C39,U418,I230,thanks for sharing this information. reference 39,2026-07-16 07:43:31.777440,False,GENUINE,1,0,0,1.0,50,2,0,1,1,0,0,7.5,0,7.5,False,False
C40,U33,I118,i have a different opinion about movies. reference 40,2026-06-08 20:17:31.777457,False,GENUINE,1,0,0,1.0000000000000004,50,7,15,1,1,0,0,9.0,0,9.0,False,False
C41,U880,I232,this is an interesting perspective on sports. reference 41,2026-07-18 18:03:31.777471,False,GENUINE,1,0,0,1.0,50,7,15,1,1,0,0,9.0,0,9.0,False,False
C42,U806,I405,thanks for sharing this information. reference 42,2026-07-04 03:15:31.777487,False,GENUINE,1,0,0,1.0,50,7,15,1,1,0,0,9.0,0,9.0,False,False
C43,U117,I278,the explanation of education was very clear. reference 43,2026-07-18 15:42:31.777502,False,GENUINE,1,0,0,1.0000000000000002,50,6,15,1,1,0,0,9.0,0,9.0,False,False
C44,U846,I72,this is an interesting perspective on technology. reference 44,2026-07-27 17:31:31.777516,False,GENUINE,1,0,0,1.0,50,6,15,1,1,0,0,9.0,0,9.0,False,False
C45,U811,I157,thanks for sharing this information. reference 45,2026-07-02 20:38:31.777530,False,GENUINE,1,0,0,1.0,50,4,0,1,1,0,0,7.5,0,7.5,False,False
C46,U127,I239,i have a different opinion about fashion. reference 46,2026-07-18 01:15:31.777544,False,GENUINE,1,0,0,1.0,50,7,15,1,1,0,0,9.0,0,9.0,False,False
C47,U512,I276,i think this could be improved. reference 47,2026-08-04 12:15:31.777558,False,GENUINE,1,0,0,1.0000000000000002,50,2,0,1,1,0,0,7.5,0,7.5,False,False
C48,U612,I20,the information presented here is useful. reference 48,2026-06-17 21:09:31.777574,False,GENUINE,1,0,0,1.0,50,9,15,1,1,0,0,9.0,0,9.0,False,False
C49,U256,I13,this is an interesting perspective on sports. reference 49,2026-06-11 10:57:31.777589,False,GENUINE,1,0,0,1.0,50,10,40,1,1,0,0,11.5,0,11.5,False,False
C50,U856,I440,thanks for sharing this information. reference 50,2026-06-11 15:21:31.777603,False,GENUINE,1,0,0,1.0,50,3,0,1,1,0,0,7.5,0,7.5,False,False
C51,U841,I137,thanks for sharing this information. reference 51,2026-06-03 23:53:31.777617,False,GENUINE,1,0,0,1.0,50,8,15,1,1,0,0,9.0,0,9.0,False,False
C52,U179,I240,this was a surprisingly interesting post. reference 52,2026-07-17 12:20:31.777631,False,GENUINE,1,0,0,1.0,50,5,15,1,1,0,0,9.0,0,9.0,False,False
C53,U185,I299,the information presented here is useful. reference 53,2026-08-03 12:39:31.777645,False,GENUINE,1,0,0,1.0,50,5,15,1,1,0,0,9.0,0,9.0,False,False
C54,U481,I178,the information presented here is useful. reference 54,2026-07-13 14:37:31.777661,False,GENUINE,1,0,0,1.0,50,4,0,1,1,0,0,7.5,0,7.5,False,False
C55,U686,I53,i learned something useful about music here. reference 55,2026-07-05 08:43:31.777676,False,GENUINE,1,0,0,1.0,50,6,15,1,1,0,0,9.0,0,9.0,False,False
C56,U710,I253,i have a different opinion about fashion. reference 56,2026-06-03 14:38:31.777691,False,GENUINE,1,0,0,1.0,50,5,15,1,1,0,0,9.0,0,9.0,False,False
C57,U563,I18,i think this could be improved. reference 57,2026-07-14 04:54:31.777705,False,GENUINE,1,0,0,1.0000000000000002,50,5,15,1,1,0,0,9.0,0,9.0,False,False
C58,U258,I165,this is an interesting perspective on fashion. reference 58,2026-06-25 23:49:31.777719,False,GENUINE,1,0,0,1.0,50,6,15,1,1,0,0,9.0,0,9.0,False,False
C59,U844,I0,this was a surprisingly interesting post. reference 59,2026-07-05 05:13:31.777733,False,GENUINE,1,0,0,1.0,50,9,15,1,1,0,0,9.0,0,9.0,False,False
C60,U55,I96,this was a surprisingly interesting post. reference 60,2026-06-16 03:49:31.777747,False,GENUINE,1,0,0,1.0,50,5,15,1,1,0,0,9.0,0,9.0,False,False
C61,U774,I255,i think this could be improved. reference 61,2026-07-24 07:18:31.777760,False,GENUINE,1,0,0,1.0000000000000002,50,10,40,1,1,0,0,11.5,0,11.5,False,False
C62,U273,I281,i learned something useful about movies here. reference 62,2026-07-02 22:54:31.777774,False,GENUINE,1,0,0,1.0,50,13,40,1,1,0,0,11.5,0,11.5,False,False
C63,U901,I357,i think this could be improved. reference 63,2026-08-09 04:55:31.777788,False,GENUINE,1,0,0,1.0000000000000002,50,9,15,1,1,0,0,9.0,0,9.0,False,False
C64,U996,I322,thanks for sharing this information. reference 64,2026-06-08 05:26:31.777802,False,GENUINE,1,0,0,1.0,50,3,0,1,1,0,0,7.5,0,7.5,False,False
C65,U162,I159,this was a surprisingly interesting post. reference 65,2026-06-22 13:34:31.777816,False,GENUINE,1,0,0,1.0,50,8,15,1,1,0,0,9.0,0,9.0,False,False
C66,U417,I47,the explanation of gaming was very clear. reference 66,2026-06-30 19:56:31.777830,False,GENUINE,1,0,0,1.0000000000000002,50,1,0,1,1,0,0,7.5,0,7.5,False,False
C67,U969,I60,i learned something useful about food here. reference 67,2026-06-07 14:32:31.777844,False,GENUINE,1,0,0,1.0000000000000002,50,6,15,1,1,0,0,9.0,0,9.0,False,False
C68,U298,I260,i have a different opinion about fashion. reference 68,2026-06-28 21:56:31.777858,False,GENUINE,1,0,0,1.0,50,8,15,1,1,0,0,9.0,0,9.0,False,False
C69,U483,I124,amazing product buy now,2026-07-07 22:01:31.777874,False,GENUINE,69,50,15,1.0,50,5,15,68,1,40,0,33.5,8,41.5,False,False
C70,U195,I471,thanks for sharing this information. reference 70,2026-08-05 11:28:31.777888,False,GENUINE,1,0,0,1.0,50,2,0,1,1,0,0,7.5,0,7.5,False,False
C71,U282,I395,the information presented here is useful. reference 71,2026-06-26 14:48:31.777908,False,GENUINE,1,0,0,1.0,50,7,15,1,1,0,0,9.0,0,9.0,False,False
C72,U273,I420,i really enjoyed this post about movies. reference 72,2026-06-06 17:54:31.777922,False,GENUINE,1,0,0,1.0,50,13,40,1,1,0,0,11.5,0,11.5,False,False
