user_id,account_age_days,followers,following,posts,attack_bot_score,detected_bot,is_real_attack
U6,5,33,4607,1022.0,70.0,True,False
U17,1996,44,2263,81.0,70.0,True,False
U25,11,35,4655,1409.0,70.0,True,False
U27,17,29,4225,1619.0,70.0,True,False
U30,18,28,4949,1511.0,70.0,True,False
U32,22,20,1159,1537.0,70.0,True,False
U44,15,10,1557,1625.0,70.0,True,False
U46,26,40,1392,1130.0,70.0,True,False
U71,28,23,2241,1015.0,70.0,True,False
U80,8,28,3745,674.0,70.0,True,False
U89,19,25,3773,530.0,70.0,True,False
U93,1565,26,1253,158.0,70.0,True,False
U94,11,22,3016,1623.0,70.0,True,False
U95,21,24,3894,1545.0,70.0,True,False
U99,9,24,1775,1786.0,70.0,True,False
U104,2,39,4522,1403.0,70.0,True,False
U114,14,4,1413,1881.0,100.0,True,False
U127,20,24,1540,670.0,70.0,True,False
U142,28,2,1449,1997.0,100.0,True,False
U159,15,48,2681,726.0,70.0,True,False
U163,19,12,2316,1309.0,70.0,True,False
U196,29,41,3204,1109.0,70.0,True,False
U200,479,19,2881,798.0,70.0,True,False
U203,24,8,2960,889.0,70.0,True,False
U220,12,41,1891,1978.0,70.0,True,False
U223,4,13,4130,1994.0,70.0,True,False
U225,19,13,2106,676.0,70.0,True,False
U228,2,42,4451,1881.0,70.0,True,False
U238,8,18,2035,1813.0,70.0,True,False
U250,16,2,3983,874.0,100.0,True,False
U251,115,135,2869,537.0,70.0,True,False
U270,11,35,2548,1836.0,70.0,True,False
U281,13,19,2146,857.0,70.0,True,False
U284,26,29,1928,1131.0,70.0,True,False
U300,7,32,2759,1164.0,70.0,True,False
U344,16,9,1328,1689.0,70.0,True,False
U348,7,28,2023,1878.0,70.0,True,False
U352,28,40,1821,1961.0,70.0,True,False
U367,4,18,4074,1551.0,70.0,True,False
U370,24,8,4116,1737.0,70.0,True,False
U387,28,16,4758,964.0,70.0,True,False
U389,13,23,2196,661.0,70.0,True,False
U403,1866,140,2862,171.0,70.0,True,False
U429,4,36,4921,1410.0,70.0,True,False
U432,10,10,4555,1979.0,70.0,True,False
U459,6,48,4639,1190.0,70.0,True,False
U470,14,10,1674,886.0,70.0,True,False
U476,426,48,896,797.0,66.14285714285714,True,False
U494,1046,126,2443,344.0,68.28149606299212,True,False
U507,900,99,1719,122.0,63.6775,True,False
U517,18,34,4710,1598.0,70.0,True,False
U549,15,38,3064,1705.0,70.0,True,False
U558,13,21,4474,1576.0,70.0,True,False
U565,9,34,2444,1657.0,70.0,True,False
U574,22,38,3256,1866.0,70.0,True,False
U591,27,4,1615,694.0,100.0,True,False
U603,5,17,4769,970.0,70.0,True,False
U604,17,23,3591,1969.0,70.0,True,False
U616,9,12,4632,1964.0,70.0,True,False
U618,1,36,4604,1775.0,70.0,True,False
U633,4,13,4718,1751.0,70.0,True,False
U643,16,16,3602,872.0,70.0,True,False
U654,23,9,1801,1441.0,70.0,True,False
U665,28,11,1632,1076.0,70.0,True,False
U677,5,32,1979,933.0,70.0,True,False
U692,23,14,1631,1550.0,70.0,True,False
U714,17,37,2525,1827.0,70.0,True,False
U718,11,19,1136,927.0,70.0,True,False
U721,2,28,4276,1602.0,70.0,True,False
U728,1275,48,2554,780.0,70.0,True,False
U733,5,44,1888,1680.0,70.0,True,False
U747,24,2,3005,1367.0,100.0,True,False
U754,13,47,2950,1007.0,70.0,True,False
U758,22,29,4302,820.0,70.0,True,False
U759,28,13,4756,1813.0,70.0,True,False
U777,17,4,1430,1292.0,100.0,True,False
U781,13,36,3078,1397.0,70.0,True,False
U825,9,21,4923,1478.0,70.0,True,False
U826,17,10,3612,1567.0,70.0,True,False
U828,23,10,3222,522.0,70.0,True,False
U849,1,7,3803,511.0,70.0,True,False
U867,6,44,1939,1672.0,70.0,True,False
U882,8,33,4030,1228.0,70.0,True,False
U890,21,21,1234,1536.0,70.0,True,False
U906,15,9,3207,830.0,70.0,True,False
U912,1673,28,593,456.0,70.0,True,False
U913,17,41,2693,936.0,70.0,True,False
U944,26,38,4904,618.0,70.0,True,False
U954,199,133,2703,708.0,70.0,True,False
U980,9,13,3257,1240.0,70.0,True,False
U984,1893,125,2998,849.0,70.0,True,False
U996,25,36,2401,1711.0,70.0,True,False
BOT_001,27,0,730,,100.0,True,True
BOT_002,10,1,726,,100.0,True,True
BOT_003,14,1,720,,100.0,True,True
BOT_004,21,0,588,,100.0,True,True
BOT_005,29,2,928,,100.0,True,True
BOT_006,9,1,702,,100.0,True,True
BOT_007,13,0,541,,100.0,True,True
BOT_008,25,1,816,,100.0,True,True
BOT_009,17,1,606,,100.0,True,True
BOT_010,6,2,557,,100.0,True,True
BOT_011,2,2,518,,100.0,True,True
BOT_012,1,0,968,,100.0,True,True
BOT_013,17,0,767,,100.0,True,True
BOT_014,19,2,753,,100.0,True,True
BOT_015,11,1,888,,100.0,True,True
BOT_016,4,1,888,,100.0,True,True
BOT_017,17,3,943,,100.0,True,True
BOT_018,13,2,805,,100.0,True,True
BOT_019,13,3,939,,100.0,True,True
BOT_020,23,0,519,,100.0,True,True
