user_id,injected_ratings,detected_ratings,average_score,detection_rate
BOT_001,3,0,17.17,0.0
BOT_003,3,0,17.17,0.0
BOT_005,3,0,17.17,0.0
BOT_016,3,0,17.17,0.0
BOT_007,3,0,16.42,0.0
BOT_013,3,0,14.67,0.0
BOT_019,3,0,14.67,0.0
BOT_017,3,0,14.5,0.0
BOT_004,3,0,12.75,0.0
BOT_008,3,0,12.75,0.0
BOT_006,3,0,12.0,0.0
BOT_010,3,0,12.0,0.0
BOT_014,3,0,12.0,0.0
BOT_020,3,0,12.0,0.0
BOT_009,3,0,11.0,0.0
BOT_012,3,0,11.0,0.0
BOT_002,3,0,10.25,0.0
BOT_018,3,0,10.25,0.0
BOT_011,3,0,8.5,0.0
BOT_015,3,0,8.5,0.0
