rating_id,user_id,item_id,rating,timestamp,duplicate_rating_score,extreme_rating_score,user_activity,user_behavior_score,item_activity,item_targeting_score,coordinated_users,coordination_score,bot_evidence,attack_score,detected_fake,is_real_attack
R0,U312,I494,1,2026-08-11 18:11:31.863749,0,25,8,40,14,25,14,70,0,26.0,False,False
R1,U996,I38,2,2026-07-28 17:15:31.863811,0,0,2,15,10,25,10,70,0,17.25,False,False
R2,U679,I258,2,2026-07-24 12:37:31.863834,0,0,7,40,7,10,7,40,0,15.5,False,False
R3,U921,I115,5,2026-07-28 23:09:31.863851,0,25,2,15,9,10,9,40,0,14.25,False,False
R4,U101,I344,5,2026-06-26 14:01:31.863867,0,25,6,40,10,25,10,70,0,26.0,False,False
R5,U748,I497,2,2026-07-11 00:51:31.863882,0,0,7,40,12,25,12,70,0,22.25,False,False
R6,U919,I95,4,2026-06-05 17:36:31.863896,0,0,3,15,13,25,13,70,0,17.25,False,False
R7,U614,I372,1,2026-06-24 17:46:31.863947,0,25,5,40,11,25,11,70,0,26.0,False,False
R8,U488,I166,1,2026-07-05 20:55:31.863962,0,25,8,40,8,10,7,40,0,19.25,False,False
R9,U975,I458,4,2026-06-27 22:59:31.863975,0,0,4,15,9,10,9,40,0,10.5,False,False
R10,U394,I48,1,2026-07-04 09:02:31.863988,0,25,6,40,12,25,12,70,0,26.0,False,False
R11,U773,I322,3,2026-06-19 20:34:31.864000,0,0,4,15,7,10,7,40,0,10.5,False,False
R12,U171,I3,5,2026-06-25 06:14:31.864014,0,25,8,40,8,10,8,40,0,19.25,False,False
R13,U102,I438,3,2026-07-20 07:36:31.864026,0,0,5,40,11,25,11,70,0,22.25,False,False
R14,U788,I38,5,2026-07-31 05:35:31.864039,0,25,4,15,10,25,10,70,0,21.0,False,False
R15,U478,I310,4,2026-07-05 12:52:31.864051,0,0,6,40,8,10,8,40,0,15.5,False,False
R16,U119,I235,5,2026-06-09 14:11:31.864064,0,25,5,40,12,25,12,70,0,26.0,False,False
R17,U113,I180,5,2026-07-04 16:39:31.864079,0,25,7,40,9,10,9,40,0,19.25,False,False
R18,U593,I436,5,2026-06-14 06:46:31.864092,0,25,2,15,6,10,6,40,0,14.25,False,False
R19,U252,I277,3,2026-07-10 23:31:31.864105,0,0,6,40,13,25,13,70,0,22.25,False,False
R20,U676,I254,2,2026-06-05 23:36:31.864118,0,0,3,15,8,10,8,40,0,10.5,False,False
