user_id,account_age_days,followers,following,posts
U0,1156,870,1304,107
U1,1125,3782,1648,122
U2,496,4436,1492,88
U3,1426,3181,2929,664
U4,160,1695,779,344
U5,1545,2443,1225,956
U6,5,33,4607,1022
U7,51,4853,2914,561
U8,504,1092,2568,682
U9,1529,2757,985,783
U10,219,2744,572,876
U11,1620,1277,2889,505
U12,1184,3566,656,21
U13,870,2445,610,316
U14,43,251,2051,777
U15,1399,2622,2955,340
U16,121,1488,2566,776
U17,1996,44,2263,81
U18,1985,1595,1031,390
U19,595,3853,1510,703
U20,431,171,211,958
U21,1025,4921,465,462
U22,1780,1285,1026,702
U23,325,347,888,53
U24,821,4003,2274,764
U25,11,35,4655,1409
U26,1210,2072,74,857
U27,17,29,4225,1619
U28,677,1505,1172,499
U29,622,401,1708,419
U30,18,28,4949,1511
U31,260,3109,2192,201
U32,22,20,1159,1537
U33,1101,4608,2464,574
U34,1781,814,2156,684
U35,1925,2783,1580,961
U36,1792,2700,1038,218
U37,532,4503,880,795
U38,422,216,1048,858
U39,1607,1494,873,743
U40,1294,573,1030,96
U41,1953,1767,2542,407
U42,260,1688,550,36
U43,554,1732,1829,578
U44,15,10,1557,1625
U45,1081,3637,1373,798
U46,26,40,1392,1130
U47,1526,3312,2247,225
U48,1438,1316,2690,628
U49,1002,1292,719,456
U50,1464,4754,327,677
U51,1278,4789,673,975
U52,1880,3455,1641,472
U53,1286,3773,1146,830
U54,1550,4669,1301,510
U55,1860,3467,1646,625
U56,981,3162,708,113
U57,31,4747,2277,566
U58,884,3484,1671,130
U59,1106,1717,2787,672
U60,1763,4941,212,184
U61,152,4506,776,294
U62,309,2941,207,982
U63,1960,3592,2809,144
U64,638,3282,1157,187
U65,1379,2521,1804,660
U66,793,1379,1996,511
U67,176,3229,2921,711
U68,1873,498,2986,936
U69,1693,2395,2929,641
U70,1832,4071,1644,263
U71,28,23,2241,1015
U72,910,2059,2954,304
U73,283,3733,462,37
U74,1213,4100,2066,233
U75,1152,1692,2873,208
U76,1184,4509,2209,54
U77,1173,1706,637,587
U78,1678,1455,113,852
U79,283,3193,2567,473
U80,8,28,3745,674
U81,1949,4983,347,706
U82,851,3244,966,681
U83,190,4503,1310,816
U84,1969,1537,1929,392
U85,1188,1228,410,640
U86,1086,2745,469,955
U87,1936,4575,1055,750
U88,1723,3446,572,438
U89,19,25,3773,530
U90,1330,4903,2341,879
U91,989,4558,825,659
U92,1569,4652,1225,49
U93,1565,26,1253,158
U94,11,22,3016,1623
U95,21,24,3894,1545
U96,526,311,190,607
U97,1152,709,1002,116
U98,220,2310,990,928
U99,9,24,1775,1786
U100,1846,579,1356,872
U101,715,3873,635,288
U102,1996,2911,1696,962
U103,1692,164,2547,386
U104,2,39,4522,1403
U105,1092,2816,547,867
U106,1871,2465,534,828
U107,1559,2960,45,685
U108,49,2378,2569,400
U109,683,981,1916,471
U110,1196,4939,1833,727
U111,883,4156,584,190
U112,1178,1725,691,838
U113,1836,2501,2670,993
U114,14,4,1413,1881
U115,34,4879,886,992
U116,913,4152,2924,823
U117,965,4374,379,636
U118,1159,1703,1692,657
U119,149,840,1820,604
