comment_id,user_id,item_id,text,timestamp,normalized_text,spam_probability,spam,text_frequency,duplicate,comment_risk_score
C0,U104,I356,I have a different opinion about gaming. Reference 0,2026-06-21 07:41:31.776649,i have a different opinion about gaming reference 0,0.0,0,1,0,0.0
C1,U801,I21,This is worth discussing further. Reference 1,2026-06-12 14:52:31.776838,this is worth discussing further reference 1,0.0,0,1,0,0.0
C2,U379,I35,This was a surprisingly interesting post. Reference 2,2026-08-10 16:20:31.776865,this was a surprisingly interesting post reference 2,0.0,0,1,0,0.0
C3,U869,I215,I think this could be improved. Reference 3,2026-07-03 08:56:31.776884,i think this could be improved reference 3,0.0,0,1,0,0.0
C4,U983,I185,I think this could be improved. Reference 4,2026-07-03 04:38:31.776913,i think this could be improved reference 4,0.0,0,1,0,0.0
C5,U180,I375,This was a surprisingly interesting post. Reference 5,2026-06-16 18:30:31.776931,this was a surprisingly interesting post reference 5,0.0,0,1,0,0.0
C6,U827,I470,This was a surprisingly interesting post. Reference 6,2026-06-30 12:27:31.776950,this was a surprisingly interesting post reference 6,0.0,0,1,0,0.0
C7,U446,I422,Amazing product buy now,2026-07-13 11:53:31.776966,amazing product buy now,1.0,1,69,1,100.0
C8,U872,I125,This is an interesting perspective on movies. Reference 8,2026-07-01 19:11:31.776984,this is an interesting perspective on movies reference 8,0.0,0,1,0,0.0
C9,U249,I384,I think this could be improved. Reference 9,2026-07-12 05:06:31.777001,i think this could be improved reference 9,0.0,0,1,0,0.0
C10,U29,I253,This is worth discussing further. Reference 10,2026-06-28 10:54:31.777016,this is worth discussing further reference 10,0.0,0,1,0,0.0
C11,U217,I181,I have a different opinion about music. Reference 11,2026-07-17 09:03:31.777031,i have a different opinion about music reference 11,0.0,0,1,0,0.0
C12,U901,I305,I have a different opinion about technology. Reference 12,2026-06-25 19:23:31.777047,i have a different opinion about technology reference 12,0.0,0,1,0,0.0
C13,U970,I97,This is an interesting perspective on sports. Reference 13,2026-06-07 06:57:31.777062,this is an interesting perspective on sports reference 13,0.0,0,1,0,0.0
C14,U416,I250,This was a surprisingly interesting post. Reference 14,2026-06-09 23:19:31.777076,this was a surprisingly interesting post reference 14,0.0,0,1,0,0.0
C15,U487,I330,Click here for amazing deals,2026-08-10 06:18:31.777090,click here for amazing deals,0.5,1,53,1,72.50000000000001
C16,U95,I150,The explanation of fashion was very clear. Reference 16,2026-06-09 20:45:31.777105,the explanation of fashion was very clear reference 16,0.0,0,1,0,0.0
C17,U249,I156,Thanks for sharing this information. Reference 17,2026-06-29 18:07:31.777119,thanks for sharing this information reference 17,0.0,0,1,0,0.0
C18,U566,I271,Best deal available now,2026-06-04 22:27:31.777133,best deal available now,0.5,1,52,1,72.50000000000001
C19,U563,I169,This is worth discussing further. Reference 19,2026-07-18 04:09:31.777147,this is worth discussing further reference 19,0.0,0,1,0,0.0
C20,U313,I128,The explanation of gaming was very clear. Reference 20,2026-06-07 04:18:31.777161,the explanation of gaming was very clear reference 20,0.0,0,1,0,0.0
C21,U197,I161,This is an interesting perspective on education. Reference 21,2026-07-25 09:33:31.777176,this is an interesting perspective on education reference 21,0.0,0,1,0,0.0
C22,U221,I378,I think this could be improved. Reference 22,2026-06-06 21:06:31.777190,i think this could be improved reference 22,0.0,0,1,0,0.0
C23,U603,I389,This was a surprisingly interesting post. Reference 23,2026-08-02 16:22:31.777204,this was a surprisingly interesting post reference 23,0.0,0,1,0,0.0
C24,U852,I99,I have a different opinion about sports. Reference 24,2026-07-09 23:37:31.777218,i have a different opinion about sports reference 24,0.0,0,1,0,0.0
C25,U183,I154,I really enjoyed this post about education. Reference 25,2026-07-17 20:44:31.777232,i really enjoyed this post about education reference 25,0.0,0,1,0,0.0
C26,U46,I498,I really enjoyed this post about movies. Reference 26,2026-06-09 08:27:31.777249,i really enjoyed this post about movies reference 26,0.0,0,1,0,0.0
C27,U966,I64,I think this could be improved. Reference 27,2026-08-10 17:11:31.777266,i think this could be improved reference 27,0.0,0,1,0,0.0
C28,U587,I145,I think this could be improved. Reference 28,2026-07-02 17:45:31.777280,i think this could be improved reference 28,0.0,0,1,0,0.0
C29,U348,I94,I really enjoyed this post about movies. Reference 29,2026-06-29 08:22:31.777294,i really enjoyed this post about movies reference 29,0.0,0,1,0,0.0
C30,U116,I420,This is an interesting perspective on fashion. Reference 30,2026-06-28 01:44:31.777309,this is an interesting perspective on fashion reference 30,0.0,0,1,0,0.0
C31,U75,I295,Click here for amazing deals,2026-07-29 06:03:31.777324,click here for amazing deals,0.5,1,53,1,72.50000000000001
C32,U830,I288,I have a different opinion about gaming. Reference 32,2026-07-20 05:48:31.777338,i have a different opinion about gaming reference 32,0.0,0,1,0,0.0
C33,U121,I285,The information presented here is useful. Reference 33,2026-06-25 06:24:31.777352,the information presented here is useful reference 33,0.0,0,1,0,0.0
C34,U389,I230,I think this could be improved. Reference 34,2026-06-19 06:19:31.777366,i think this could be improved reference 34,0.0,0,1,0,0.0
C35,U439,I156,Thanks for sharing this information. Reference 35,2026-06-17 08:13:31.777380,thanks for sharing this information reference 35,0.0,0,1,0,0.0
C36,U983,I378,This is an interesting perspective on sports. Reference 36,2026-06-15 21:31:31.777394,this is an interesting perspective on sports reference 36,0.0,0,1,0,0.0
C37,U216,I135,This is an interesting perspective on education. Reference 37,2026-07-20 23:59:31.777409,this is an interesting perspective on education reference 37,0.0,0,1,0,0.0
C38,U177,I282,This is an interesting perspective on education. Reference 38,2026-08-11 14:08:31.777423,this is an interesting perspective on education reference 38,0.0,0,1,0,0.0
C39,U418,I230,Thanks for sharing this information. Reference 39,2026-07-16 07:43:31.777440,thanks for sharing this information reference 39,0.0,0,1,0,0.0
C40,U33,I118,I have a different opinion about movies. Reference 40,2026-06-08 20:17:31.777457,i have a different opinion about movies reference 40,0.0,0,1,0,0.0
C41,U880,I232,This is an interesting perspective on sports. Reference 41,2026-07-18 18:03:31.777471,this is an interesting perspective on sports reference 41,0.0,0,1,0,0.0
C42,U806,I405,Thanks for sharing this information. Reference 42,2026-07-04 03:15:31.777487,thanks for sharing this information reference 42,0.0,0,1,0,0.0
C43,U117,I278,The explanation of education was very clear. Reference 43,2026-07-18 15:42:31.777502,the explanation of education was very clear reference 43,0.0,0,1,0,0.0
C44,U846,I72,This is an interesting perspective on technology. Reference 44,2026-07-27 17:31:31.777516,this is an interesting perspective on technology reference 44,0.0,0,1,0,0.0
C45,U811,I157,Thanks for sharing this information. Reference 45,2026-07-02 20:38:31.777530,thanks for sharing this information reference 45,0.0,0,1,0,0.0
C46,U127,I239,I have a different opinion about fashion. Reference 46,2026-07-18 01:15:31.777544,i have a different opinion about fashion reference 46,0.0,0,1,0,0.0
C47,U512,I276,I think this could be improved. Reference 47,2026-08-04 12:15:31.777558,i think this could be improved reference 47,0.0,0,1,0,0.0
C48,U612,I20,The information presented here is useful. Reference 48,2026-06-17 21:09:31.777574,the information presented here is useful reference 48,0.0,0,1,0,0.0
C49,U256,I13,This is an interesting perspective on sports. Reference 49,2026-06-11 10:57:31.777589,this is an interesting perspective on sports reference 49,0.0,0,1,0,0.0
C50,U856,I440,Thanks for sharing this information. Reference 50,2026-06-11 15:21:31.777603,thanks for sharing this information reference 50,0.0,0,1,0,0.0
C51,U841,I137,Thanks for sharing this information. Reference 51,2026-06-03 23:53:31.777617,thanks for sharing this information reference 51,0.0,0,1,0,0.0
