user1,user2,item_id,time_difference,text
U801,U802,I42,20.0,amazing product buy now
U801,U803,I42,40.0,amazing product buy now
U801,U804,I42,60.0,amazing product buy now
U801,U805,I42,80.0,amazing product buy now
U801,U806,I42,100.0,amazing product buy now
U801,U807,I42,120.0,amazing product buy now
U801,U808,I42,140.0,amazing product buy now
U802,U803,I42,20.0,amazing product buy now
U802,U804,I42,40.0,amazing product buy now
U802,U805,I42,60.0,amazing product buy now
U802,U806,I42,80.0,amazing product buy now
U802,U807,I42,100.0,amazing product buy now
U802,U808,I42,120.0,amazing product buy now
U803,U804,I42,20.0,amazing product buy now
U803,U805,I42,40.0,amazing product buy now
U803,U806,I42,60.0,amazing product buy now
U803,U807,I42,80.0,amazing product buy now
U803,U808,I42,100.0,amazing product buy now
U804,U805,I42,20.0,amazing product buy now
U804,U806,I42,40.0,amazing product buy now
U804,U807,I42,60.0,amazing product buy now
U804,U808,I42,80.0,amazing product buy now
U805,U806,I42,20.0,amazing product buy now
U805,U807,I42,40.0,amazing product buy now
U805,U808,I42,60.0,amazing product buy now
U806,U807,I42,20.0,amazing product buy now
U806,U808,I42,40.0,amazing product buy now
U807,U808,I42,20.0,amazing product buy now
