item_id,category
I0,Sports
I1,Music
I2,Gaming
I3,Sports
I4,Gaming
I5,Food
I6,Music
I7,Education
I8,Movies
I9,Fashion
I10,Movies
I11,Movies
I12,Sports
I13,Music
I14,Gaming
I15,Fashion
I16,Sports
I17,Fashion
I18,Education
I19,Food
I20,Music
I21,Sports
I22,Movies
I23,Technology
I24,Sports
I25,Technology
I26,Movies
I27,Food
I28,Music
I29,Gaming
I30,Sports
I31,Movies
I32,Sports
I33,Education
I34,Food
I35,Education
I36,Fashion
I37,Music
I38,Fashion
I39,Sports
I40,Music
I41,Food
I42,Food
I43,Movies
I44,Sports
I45,Fashion
I46,Education
I47,Gaming
I48,Technology
I49,Gaming
I50,Fashion
I51,Fashion
I52,Food
I53,Gaming
I54,Food
I55,Food
I56,Education
I57,Music
I58,Technology
I59,Gaming
I60,Music
I61,Movies
I62,Gaming
I63,Music
I64,Food
I65,Fashion
I66,Education
I67,Technology
I68,Music
I69,Fashion
I70,Gaming
I71,Music
I72,Sports
I73,Fashion
I74,Movies
I75,Fashion
I76,Technology
I77,Movies
I78,Education
I79,Technology
I80,Gaming
I81,Movies
I82,Music
I83,Sports
I84,Technology
I85,Sports
I86,Gaming
I87,Gaming
I88,Education
I89,Gaming
I90,Fashion
I91,Fashion
I92,Education
I93,Fashion
I94,Music
I95,Food
I96,Sports
I97,Sports
I98,Music
I99,Food
I100,Movies
I101,Education
I102,Education
I103,Gaming
I104,Sports
I105,Sports
I106,Gaming
I107,Movies
I108,Technology
I109,Sports
I110,Sports
I111,Technology
I112,Gaming
I113,Technology
I114,Sports
I115,Gaming
I116,Technology
I117,Movies
I118,Gaming
I119,Sports
I120,Music
I121,Education
I122,Sports
I123,Fashion
I124,Education
I125,Sports
I126,Education
I127,Food
I128,Sports
I129,Gaming
I130,Gaming
I131,Food
I132,Movies
I133,Food
I134,Food
I135,Education
I136,Technology
I137,Gaming
I138,Technology
I139,Food
I140,Movies
I141,Gaming
I142,Sports
I143,Sports
I144,Sports
I145,Education
I146,Fashion
I147,Food
I148,Fashion
I149,Music
I150,Education
I151,Sports
I152,Gaming
I153,Education
I154,Gaming
I155,Technology
I156,Technology
I157,Gaming
I158,Sports
I159,Fashion
I160,Food
I161,Education
I162,Education
I163,Sports
I164,Food
I165,Technology
I166,Fashion
I167,Food
I168,Technology
I169,Food
I170,Music
I171,Education
I172,Music
I173,Food
I174,Education
I175,Fashion
I176,Sports
I177,Music
I178,Sports
I179,Technology
I180,Technology
I181,Movies
I182,Technology
I183,Technology
I184,Education
I185,Fashion
I186,Technology
I187,Gaming
I188,Fashion
I189,Gaming
I190,Gaming
I191,Sports
I192,Food
I193,Gaming
I194,Sports
I195,Technology
I196,Gaming
I197,Food
I198,Movies
I199,Music
I200,Sports
I201,Movies
I202,Sports
I203,Music
I204,Food
I205,Fashion
I206,Music
I207,Education
I208,Movies
I209,Gaming
I210,Technology
I211,Education
I212,Gaming
I213,Gaming
I214,Sports
