item_id,rating_count,average_rating,rating_std,five_star_count,one_star_count,five_star_ratio,concentration_score,max_ratings_in_5min,velocity_score,suspicious_user_ratings,campaign_score,manipulation_score,rating_risk
I0,7,3.7142857142857144,1.4960264830861911,3,1,0.42857142857142855,42.857142857142854,1,10.0,0.0,0.0,20.142857142857142,LOW RISK
I1,18,3.611111111111111,1.1447521637192346,4,1,0.2222222222222222,22.22222222222222,1,10.0,0.0,0.0,11.88888888888889,LOW RISK
I10,8,2.5,1.6035674514745466,1,3,0.125,12.5,1,10.0,0.0,0.0,8.0,LOW RISK
I100,21,3.619047619047619,1.716863141784763,11,5,0.5238095238095238,52.38095238095239,5,50.0,8.0,100.0,65.95238095238096,MEDIUM RISK
I101,12,2.25,1.0552897060221726,0,3,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I102,7,3.4285714285714284,1.8126539343499315,3,2,0.42857142857142855,42.857142857142854,1,10.0,0.0,0.0,20.142857142857142,LOW RISK
I103,9,3.4444444444444446,1.3333333333333335,2,1,0.2222222222222222,22.22222222222222,1,10.0,0.0,0.0,11.88888888888889,LOW RISK
I104,13,2.769230769230769,1.2351684199496948,2,2,0.15384615384615385,15.384615384615385,1,10.0,0.0,0.0,9.153846153846153,LOW RISK
I105,8,2.75,1.6690459207925603,2,2,0.25,25.0,1,10.0,0.0,0.0,13.0,LOW RISK
I106,18,2.388888888888889,1.1950332945836273,1,4,0.05555555555555555,5.555555555555555,1,10.0,0.0,0.0,5.222222222222222,LOW RISK
I107,12,3.3333333333333335,1.3706888336846839,3,1,0.25,25.0,1,10.0,0.0,0.0,13.0,LOW RISK
I108,10,3.1,1.5951314818673865,3,2,0.3,30.0,1,10.0,0.0,0.0,15.0,LOW RISK
I109,7,3.5714285714285716,1.3972762620115435,3,0,0.42857142857142855,42.857142857142854,1,10.0,0.0,0.0,20.142857142857142,LOW RISK
I11,7,3.142857142857143,1.4638501094227998,1,1,0.14285714285714285,14.285714285714285,1,10.0,0.0,0.0,8.714285714285715,LOW RISK
I110,7,2.4285714285714284,0.9759000729485331,0,1,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I111,12,2.9166666666666665,1.6764862244009227,3,4,0.25,25.0,1,10.0,0.0,0.0,13.0,LOW RISK
I112,11,3.272727272727273,1.2720777563426766,1,2,0.09090909090909091,9.090909090909092,1,10.0,0.0,0.0,6.636363636363637,LOW RISK
I113,10,2.8,1.4757295747452437,2,2,0.2,20.0,1,10.0,0.0,0.0,11.0,LOW RISK
I114,14,2.7857142857142856,1.7177163475234933,4,5,0.2857142857142857,28.57142857142857,1,10.0,0.0,0.0,14.428571428571429,LOW RISK
I115,9,2.7777777777777777,1.092906420717,1,1,0.1111111111111111,11.11111111111111,1,10.0,0.0,0.0,7.444444444444445,LOW RISK
I116,5,3.0,1.5811388300841898,1,1,0.2,20.0,1,10.0,0.0,0.0,11.0,LOW RISK
I117,9,3.111111111111111,1.6914819275153699,2,3,0.2222222222222222,22.22222222222222,1,10.0,0.0,0.0,11.88888888888889,LOW RISK
I118,11,2.727272727272727,1.7372915179041823,3,4,0.2727272727272727,27.27272727272727,1,10.0,0.0,0.0,13.909090909090908,LOW RISK
I119,8,2.75,1.5811388300841898,2,2,0.25,25.0,1,10.0,0.0,0.0,13.0,LOW RISK
I12,8,3.5,1.7728105208558367,4,2,0.5,50.0,1,10.0,0.0,0.0,23.0,LOW RISK
I120,11,3.1818181818181817,0.873862897505303,0,0,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I121,5,2.2,1.7888543819998317,1,3,0.2,20.0,1,10.0,0.0,0.0,11.0,LOW RISK
I122,11,3.1818181818181817,1.4012980994907414,2,2,0.18181818181818182,18.181818181818183,1,10.0,0.0,0.0,10.272727272727273,LOW RISK
I123,11,2.8181818181818183,1.4709304414677,2,2,0.18181818181818182,18.181818181818183,1,10.0,0.0,0.0,10.272727272727273,LOW RISK
I124,10,2.9,1.523883926754995,1,3,0.1,10.0,1,10.0,0.0,0.0,7.0,LOW RISK
I125,9,2.3333333333333335,1.3228756555322954,0,4,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I126,8,2.5,1.5118578920369088,1,3,0.125,12.5,1,10.0,0.0,0.0,8.0,LOW RISK
I127,10,3.4,1.577621275493231,4,1,0.4,40.0,1,10.0,0.0,0.0,19.0,LOW RISK
I128,6,3.1666666666666665,1.7224014243685086,1,2,0.16666666666666666,16.666666666666664,1,10.0,0.0,0.0,9.666666666666666,LOW RISK
I129,5,2.8,1.7888543819998317,1,2,0.2,20.0,1,10.0,0.0,0.0,11.0,LOW RISK
I13,11,2.6363636363636362,1.5015143870590966,2,3,0.18181818181818182,18.181818181818183,1,10.0,0.0,0.0,10.272727272727273,LOW RISK
I130,11,3.1818181818181817,1.2504544628399563,2,1,0.18181818181818182,18.181818181818183,1,10.0,0.0,0.0,10.272727272727273,LOW RISK
I131,5,3.4,1.6733200530681511,2,1,0.4,40.0,1,10.0,0.0,0.0,19.0,LOW RISK
I132,9,3.2222222222222223,0.9718253158075502,0,0,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I133,7,3.5714285714285716,1.618347187425374,3,1,0.42857142857142855,42.857142857142854,1,10.0,0.0,0.0,20.142857142857142,LOW RISK
I134,10,3.1,1.5238839267549946,2,2,0.2,20.0,1,10.0,0.0,0.0,11.0,LOW RISK
I135,10,2.2,1.3165611772087666,1,4,0.1,10.0,1,10.0,0.0,0.0,7.0,LOW RISK
I136,5,2.2,1.6431676725154984,0,3,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I137,11,3.3636363636363638,1.5666989036012806,4,2,0.36363636363636365,36.36363636363637,1,10.0,0.0,0.0,17.545454545454547,LOW RISK
I138,5,3.0,0.7071067811865476,0,0,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I139,9,4.111111111111111,1.0540925533894598,4,0,0.4444444444444444,44.44444444444444,1,10.0,0.0,0.0,20.77777777777778,LOW RISK
I14,5,2.8,1.6431676725154982,1,1,0.2,20.0,1,10.0,0.0,0.0,11.0,LOW RISK
I140,7,2.4285714285714284,1.3972762620115438,1,2,0.14285714285714285,14.285714285714285,1,10.0,0.0,0.0,8.714285714285715,LOW RISK
I141,9,3.6666666666666665,1.6583123951777,4,2,0.4444444444444444,44.44444444444444,1,10.0,0.0,0.0,20.77777777777778,LOW RISK
I142,14,3.357142857142857,1.3363062095621216,4,1,0.2857142857142857,28.57142857142857,1,10.0,0.0,0.0,14.428571428571429,LOW RISK
I143,13,3.1538461538461537,1.344504484072964,3,1,0.23076923076923078,23.076923076923077,1,10.0,0.0,0.0,12.230769230769232,LOW RISK
I144,5,2.6,1.816590212458495,1,2,0.2,20.0,1,10.0,0.0,0.0,11.0,LOW RISK
I145,14,3.142857142857143,1.65748386032949,5,3,0.35714285714285715,35.714285714285715,1,10.0,0.0,0.0,17.285714285714285,LOW RISK
I146,12,3.4166666666666665,1.378954368902449,4,1,0.3333333333333333,33.33333333333333,1,10.0,0.0,0.0,16.333333333333332,LOW RISK
I147,16,3.0625,1.6111590031195968,5,4,0.3125,31.25,1,10.0,0.0,0.0,15.5,LOW RISK
I148,11,2.8181818181818183,1.5374122295716146,2,3,0.18181818181818182,18.181818181818183,1,10.0,0.0,0.0,10.272727272727273,LOW RISK
I149,11,3.4545454545454546,1.4396969378057567,4,1,0.36363636363636365,36.36363636363637,1,10.0,0.0,0.0,17.545454545454547,LOW RISK
I15,13,2.6153846153846154,1.5021352323976216,2,5,0.15384615384615385,15.384615384615385,1,10.0,0.0,0.0,9.153846153846153,LOW RISK
I150,10,2.3,1.2516655570345725,0,3,0.0,0.0,1,10.0,1.0,12.5,6.75,LOW RISK
I151,10,2.6,1.3498971154211057,1,3,0.1,10.0,1,10.0,0.0,0.0,7.0,LOW RISK
I152,16,2.9375,1.3889444433333777,2,3,0.125,12.5,1,10.0,0.0,0.0,8.0,LOW RISK
I153,15,2.7333333333333334,1.869555587629877,5,7,0.3333333333333333,33.33333333333333,1,10.0,0.0,0.0,16.333333333333332,LOW RISK
I154,10,2.6,1.577621275493231,2,3,0.2,20.0,1,10.0,0.0,0.0,11.0,LOW RISK
I155,11,3.1818181818181817,1.2504544628399563,1,2,0.09090909090909091,9.090909090909092,1,10.0,0.0,0.0,6.636363636363637,LOW RISK
I156,13,3.230769230769231,1.3008872711759816,2,1,0.15384615384615385,15.384615384615385,1,10.0,0.0,0.0,9.153846153846153,LOW RISK
I157,5,3.8,1.0954451150103324,1,0,0.2,20.0,1,10.0,0.0,0.0,11.0,LOW RISK
I158,10,3.7,1.5670212364724212,5,1,0.5,50.0,1,10.0,0.0,0.0,23.0,LOW RISK
I159,11,3.0,1.4142135623730951,3,1,0.2727272727272727,27.27272727272727,1,10.0,0.0,0.0,13.909090909090908,LOW RISK
I16,14,2.7142857142857144,1.3259870882635918,2,3,0.14285714285714285,14.285714285714285,1,10.0,0.0,0.0,8.714285714285715,LOW RISK
I160,16,2.625,1.3601470508735445,2,4,0.125,12.5,1,10.0,0.0,0.0,8.0,LOW RISK
I161,10,2.5,1.35400640077266,1,3,0.1,10.0,1,10.0,0.0,0.0,7.0,LOW RISK
I162,10,2.9,1.449137674618944,1,2,0.1,10.0,1,10.0,0.0,0.0,7.0,LOW RISK
I163,13,3.076923076923077,1.1875421719907089,2,1,0.15384615384615385,15.384615384615385,1,10.0,0.0,0.0,9.153846153846153,LOW RISK
I164,9,3.3333333333333335,1.3228756555322951,2,1,0.2222222222222222,22.22222222222222,1,10.0,1.0,12.5,15.63888888888889,LOW RISK
I165,8,2.0,1.1952286093343936,0,4,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I166,8,2.125,1.3562026818605375,1,3,0.125,12.5,1,10.0,1.0,12.5,11.75,LOW RISK
I167,15,3.2666666666666666,1.3870146083619754,4,1,0.26666666666666666,26.666666666666668,1,10.0,0.0,0.0,13.666666666666668,LOW RISK
I168,9,2.6666666666666665,1.6583123951777001,2,3,0.2222222222222222,22.22222222222222,1,10.0,0.0,0.0,11.88888888888889,LOW RISK
I169,5,1.8,1.3038404810405297,0,3,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I17,7,4.142857142857143,1.4638501094227998,4,1,0.5714285714285714,57.14285714285714,1,10.0,0.0,0.0,25.857142857142858,LOW RISK
I170,9,2.7777777777777777,0.9718253158075502,1,0,0.1111111111111111,11.11111111111111,1,10.0,0.0,0.0,7.444444444444445,LOW RISK
I171,10,3.3,1.4181364924121764,3,1,0.3,30.0,1,10.0,0.0,0.0,15.0,LOW RISK
I172,9,3.2222222222222223,1.6414763002993509,3,2,0.3333333333333333,33.33333333333333,1,10.0,0.0,0.0,16.333333333333332,LOW RISK
I173,9,2.4444444444444446,1.4240006242195884,1,3,0.1111111111111111,11.11111111111111,1,10.0,0.0,0.0,7.444444444444445,LOW RISK
I174,9,2.5555555555555554,1.3333333333333333,0,3,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I175,8,3.125,1.246423454758225,1,1,0.125,12.5,1,10.0,0.0,0.0,8.0,LOW RISK
I176,12,3.0,1.348399724926484,1,2,0.08333333333333333,8.333333333333332,1,10.0,0.0,0.0,6.333333333333333,LOW RISK
I177,9,3.5555555555555554,1.509230856356236,4,1,0.4444444444444444,44.44444444444444,1,10.0,0.0,0.0,20.77777777777778,LOW RISK
I178,10,3.8,1.0327955589886444,3,0,0.3,30.0,1,10.0,0.0,0.0,15.0,LOW RISK
I179,9,2.5555555555555554,1.740051084818425,2,4,0.2222222222222222,22.22222222222222,1,10.0,0.0,0.0,11.88888888888889,LOW RISK
I18,6,3.0,1.4142135623730951,1,1,0.16666666666666666,16.666666666666664,1,10.0,0.0,0.0,9.666666666666666,LOW RISK
I180,9,4.111111111111111,1.2692955176439846,5,0,0.5555555555555556,55.55555555555556,1,10.0,1.0,12.5,28.972222222222225,LOW RISK
I181,11,4.090909090909091,1.3751033019046572,6,1,0.5454545454545454,54.54545454545454,1,10.0,0.0,0.0,24.818181818181817,LOW RISK
I182,12,3.3333333333333335,1.3026778945578592,3,1,0.25,25.0,1,10.0,0.0,0.0,13.0,LOW RISK
I183,6,3.6666666666666665,1.0327955589886444,1,0,0.16666666666666666,16.666666666666664,1,10.0,0.0,0.0,9.666666666666666,LOW RISK
I184,3,2.6666666666666665,1.1547005383792515,0,0,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I185,11,3.727272727272727,1.1908743922772957,3,1,0.2727272727272727,27.27272727272727,1,10.0,0.0,0.0,13.909090909090908,LOW RISK
I186,10,2.7,1.8287822299126937,3,4,0.3,30.0,1,10.0,0.0,0.0,15.0,LOW RISK
I187,5,3.2,1.3038404810405297,1,0,0.2,20.0,1,10.0,0.0,0.0,11.0,LOW RISK
I188,5,3.0,1.4142135623730951,1,1,0.2,20.0,1,10.0,0.0,0.0,11.0,LOW RISK
I189,8,3.25,1.5811388300841898,2,2,0.25,25.0,1,10.0,0.0,0.0,13.0,LOW RISK
I19,11,3.6363636363636362,1.2862913567871996,3,1,0.2727272727272727,27.27272727272727,1,10.0,0.0,0.0,13.909090909090908,LOW RISK
I190,11,3.0,1.5491933384829668,3,2,0.2727272727272727,27.27272727272727,1,10.0,1.0,12.5,17.659090909090907,LOW RISK
I191,4,2.75,1.707825127659933,1,1,0.25,25.0,1,10.0,0.0,0.0,13.0,LOW RISK
I192,11,2.272727272727273,1.3483997249264843,1,4,0.09090909090909091,9.090909090909092,1,10.0,0.0,0.0,6.636363636363637,LOW RISK
I193,9,2.3333333333333335,1.3228756555322954,1,2,0.1111111111111111,11.11111111111111,1,10.0,0.0,0.0,7.444444444444445,LOW RISK
I194,6,3.5,1.51657508881031,2,1,0.3333333333333333,33.33333333333333,1,10.0,0.0,0.0,16.333333333333332,LOW RISK
I195,13,3.076923076923077,1.1875421719907087,0,2,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I196,8,3.25,1.5811388300841898,2,2,0.25,25.0,1,10.0,0.0,0.0,13.0,LOW RISK
I197,5,2.4,1.6733200530681511,1,2,0.2,20.0,1,10.0,0.0,0.0,11.0,LOW RISK
I198,17,2.8823529411764706,1.536324873731809,4,4,0.23529411764705882,23.52941176470588,1,10.0,0.0,0.0,12.411764705882353,LOW RISK
I199,10,3.6,1.2649110640673518,3,1,0.3,30.0,1,10.0,0.0,0.0,15.0,LOW RISK
I2,12,2.6666666666666665,1.497472618255253,1,4,0.08333333333333333,8.333333333333332,1,10.0,0.0,0.0,6.333333333333333,LOW RISK
I20,11,2.909090909090909,1.4459976109624426,2,2,0.18181818181818182,18.181818181818183,1,10.0,0.0,0.0,10.272727272727273,LOW RISK
I200,14,2.4285714285714284,0.9376144618769908,0,3,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I201,8,3.5,1.4142135623730951,3,1,0.375,37.5,1,10.0,0.0,0.0,18.0,LOW RISK
I202,11,3.1818181818181817,1.3280197150781923,2,1,0.18181818181818182,18.181818181818183,1,10.0,0.0,0.0,10.272727272727273,LOW RISK
I203,14,3.5,1.454436184706849,5,2,0.35714285714285715,35.714285714285715,1,10.0,0.0,0.0,17.285714285714285,LOW RISK
I204,15,3.0,1.4142135623730951,2,3,0.13333333333333333,13.333333333333334,1,10.0,0.0,0.0,8.333333333333334,LOW RISK
I205,13,2.769230769230769,1.2351684199496948,1,2,0.07692307692307693,7.6923076923076925,1,10.0,0.0,0.0,6.076923076923077,LOW RISK
I206,8,3.625,1.9226098333849673,5,2,0.625,62.5,1,10.0,0.0,0.0,28.0,LOW RISK
I207,16,3.0625,1.5692354826475214,4,4,0.25,25.0,1,10.0,0.0,0.0,13.0,LOW RISK
I208,9,3.4444444444444446,1.2360330811826103,2,0,0.2222222222222222,22.22222222222222,1,10.0,0.0,0.0,11.88888888888889,LOW RISK
I209,10,3.9,0.9944289260117536,3,0,0.3,30.0,1,10.0,0.0,0.0,15.0,LOW RISK
I21,6,2.6666666666666665,1.632993161855452,1,2,0.16666666666666666,16.666666666666664,1,10.0,0.0,0.0,9.666666666666666,LOW RISK
I210,11,3.1818181818181817,1.4709304414677002,3,2,0.2727272727272727,27.27272727272727,1,10.0,0.0,0.0,13.909090909090908,LOW RISK
I211,10,2.3,0.8232726023485646,0,1,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I212,7,1.8571428571428572,1.4638501094227998,1,4,0.14285714285714285,14.285714285714285,1,10.0,0.0,0.0,8.714285714285715,LOW RISK
I213,6,2.3333333333333335,1.3662601021279464,0,2,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I214,7,2.2857142857142856,1.2535663410560174,0,3,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I215,13,3.5384615384615383,1.3301243435223526,3,1,0.23076923076923078,23.076923076923077,1,10.0,0.0,0.0,12.230769230769232,LOW RISK
I216,12,2.5,1.3816985594155147,2,3,0.16666666666666666,16.666666666666664,1,10.0,0.0,0.0,9.666666666666666,LOW RISK
I217,10,3.9,1.3703203194062976,5,1,0.5,50.0,1,10.0,1.0,12.5,26.75,LOW RISK
I218,5,2.8,1.7888543819998317,1,2,0.2,20.0,1,10.0,0.0,0.0,11.0,LOW RISK
I219,8,3.125,1.6420805617960927,2,2,0.25,25.0,1,10.0,0.0,0.0,13.0,LOW RISK
I22,12,2.6666666666666665,1.8257418583505538,4,5,0.3333333333333333,33.33333333333333,1,10.0,0.0,0.0,16.333333333333332,LOW RISK
I220,13,2.8461538461538463,1.6251232694862383,2,5,0.15384615384615385,15.384615384615385,1,10.0,0.0,0.0,9.153846153846153,LOW RISK
I221,12,3.4166666666666665,1.1645001528813148,2,1,0.16666666666666666,16.666666666666664,1,10.0,0.0,0.0,9.666666666666666,LOW RISK
I222,15,2.8,1.082325538564332,0,2,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I223,12,3.25,1.4847711791873706,3,2,0.25,25.0,1,10.0,0.0,0.0,13.0,LOW RISK
I224,10,3.0,1.7638342073763937,3,3,0.3,30.0,1,10.0,0.0,0.0,15.0,LOW RISK
I225,11,2.3636363636363638,1.5015143870590968,1,5,0.09090909090909091,9.090909090909092,1,10.0,0.0,0.0,6.636363636363637,LOW RISK
I226,9,3.2222222222222223,1.0929064207170003,1,1,0.1111111111111111,11.11111111111111,1,10.0,0.0,0.0,7.444444444444445,LOW RISK
I227,11,2.4545454545454546,1.0357254813546264,0,2,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I228,10,3.5,1.6499158227686108,4,2,0.4,40.0,1,10.0,0.0,0.0,19.0,LOW RISK
I229,12,3.0833333333333335,1.5050420310248864,2,3,0.16666666666666666,16.666666666666664,1,10.0,0.0,0.0,9.666666666666666,LOW RISK
I23,11,2.090909090909091,0.8312094145936334,0,3,0.0,0.0,1,10.0,0.0,0.0,3.0,LOW RISK
I230,8,3.625,1.1877349391654208,1,1,0.125,12.5,1,10.0,0.0,0.0,8.0,LOW RISK
I231,14,3.0,1.6641005886756874,4,4,0.2857142857142857,28.57142857142857,1,10.0,0.0,0.0,14.428571428571429,LOW RISK
I232,9,3.2222222222222223,1.6414763002993509,3,2,0.3333333333333333,33.33333333333333,1,10.0,0.0,0.0,16.333333333333332,LOW RISK
I233,10,2.7,1.567021236472421,2,3,0.2,20.0,1,10.0,0.0,0.0,11.0,LOW RISK
I234,12,3.25,1.2880570286640685,3,1,0.25,25.0,1,10.0,0.0,0.0,13.0,LOW RISK
I235,11,3.1818181818181817,1.4012980994907414,2,2,0.18181818181818182,18.181818181818183,1,10.0,0.0,0.0,10.272727272727273,LOW RISK
I236,15,3.066666666666667,1.3870146083619752,2,3,0.13333333333333333,13.333333333333334,1,10.0,1.0,12.5,12.083333333333334,LOW RISK
